"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Australia","2022","Total","Male","Bendigo","City proper","Estimate - de jure","Provisional figure","2024","59791","1,2"
"Australia","2022","Total","Male","Brisbane","City proper","Estimate - de jure","Provisional figure","2024","636226","1,2"
"Australia","2022","Total","Male","Brisbane","Urban agglomeration","Estimate - de jure","Provisional figure","2024","1258323","1,2"
"Australia","2022","Total","Male","Cairns","City proper","Estimate - de jure","Provisional figure","2024","85310","1,2"
"Australia","2022","Total","Male","CANBERRA","City proper","Estimate - de jure","Provisional figure","2024","225637","1,2"
"Australia","2022","Total","Male","CANBERRA","Urban agglomeration","Estimate - de jure","Provisional figure","2024","225637","1,2"
"Australia","2022","Total","Male","Canberra-Queanbeyan","City proper","Estimate - de jure","Provisional figure","2024","258376","1,2"
"Australia","2022","Total","Male","Central Coast","City proper","Estimate - de jure","Provisional figure","2024","170046","1,2"
"Australia","2022","Total","Male","Darwin","City proper","Estimate - de jure","Provisional figure","2024","43111","1,2"
"Australia","2022","Total","Male","Darwin","Urban agglomeration","Estimate - de jure","Provisional figure","2024","69523","1,2"
"Australia","2022","Total","Male","Geelong","City proper","Estimate - de jure","Provisional figure","2024","135205","1,2"
"Australia","2022","Total","Male","Geelong","Urban agglomeration","Estimate - de jure","Provisional figure","2024","144531","1,2"
"Australia","2022","Total","Male","Gold Coast","City proper","Estimate - de jure","Provisional figure","2024","315822","1,2"
"Australia","2022","Total","Male","Gold Coast","Urban agglomeration","Estimate - de jure","Provisional figure","2024","323809","1,2"
"Australia","2022","Total","Male","Gold Coast-Tweed Heads","City proper","Estimate - de jure","Provisional figure","2024","363413","1,2"
"Australia","2022","Total","Male","Greater Adelaide","Urban agglomeration","Estimate - de jure","Provisional figure","2024","694058","1,2"
"Australia","2022","Total","Male","Greater Brisbane","Urban agglomeration","Estimate - de jure","Provisional figure","2024","1300448","1,2"
"Australia","2022","Total","Male","Greater Darwin","Urban agglomeration","Estimate - de jure","Provisional figure","2024","76654","1,2"
"Australia","2022","Total","Male","Greater Hobart","Urban agglomeration","Estimate - de jure","Provisional figure","2024","123500","1,2"
"Australia","2022","Total","Male","Greater Melbourne","Urban agglomeration","Estimate - de jure","Provisional figure","2024","2490390","1,2"
"Australia","2022","Total","Male","Greater Perth","Urban agglomeration","Estimate - de jure","Provisional figure","2024","1108472","1,2"
"Australia","2022","Total","Male","Greater Sydney","Urban agglomeration","Estimate - de jure","Provisional figure","2024","2636618","1,2"
"Australia","2022","Total","Male","Hobart","City proper","Estimate - de jure","Provisional figure","2024","27418","1,2"
"Australia","2022","Total","Male","Hobart","Urban agglomeration","Estimate - de jure","Provisional figure","2024","113079","1,2"
"Australia","2022","Total","Male","Melbourne","City proper","Estimate - de jure","Provisional figure","2024","79680","1,2"
"Australia","2022","Total","Male","Melbourne","Urban agglomeration","Estimate - de jure","Provisional figure","2024","2439766","1,2"
"Australia","2022","Total","Male","Newcastle","City proper","Estimate - de jure","Provisional figure","2024","85189","1,2"
"Australia","2022","Total","Male","Newcastle","Urban agglomeration","Estimate - de jure","Provisional figure","2024","90354","1,2"
"Australia","2022","Total","Male","Newcastle-Maitland","City proper","Estimate - de jure","Provisional figure","2024","131159","1,2"
"Australia","2022","Total","Male","Newcastle-Maitland","Urban agglomeration","Estimate - de jure","Provisional figure","2024","256989","1,2"
"Australia","2022","Total","Male","Perth","City proper","Estimate - de jure","Provisional figure","2024","16262","1,2"
"Australia","2022","Total","Male","Perth","Urban agglomeration","Estimate - de jure","Provisional figure","2024","1097499","1,2"
"Australia","2022","Total","Male","Sunshine Coast","City proper","Estimate - de jure","Provisional figure","2024","172052","1,2"
"Australia","2022","Total","Male","Sunshine Coast","Urban agglomeration","Estimate - de jure","Provisional figure","2024","192045","1,2"
"Australia","2022","Total","Male","Sydney","City proper","Estimate - de jure","Provisional figure","2024","114779","1,2"
"Australia","2022","Total","Male","Sydney","Urban agglomeration","Estimate - de jure","Provisional figure","2024","2438461","1,2"
"Australia","2022","Total","Male","Toowoomba","City proper","Estimate - de jure","Provisional figure","2024","86831","1,2"
"Australia","2022","Total","Male","Townsville","City proper","Estimate - de jure","Provisional figure","2024","99432","1,2"
"Australia","2022","Total","Male","Wollongong","City proper","Estimate - de jure","Provisional figure","2024","107657","1,2"
"Australia","2022","Total","Female","Adelaide","City proper","Estimate - de jure","Provisional figure","2024","12793","1,2"
"Australia","2022","Total","Female","Adelaide","Urban agglomeration","Estimate - de jure","Provisional figure","2024","714580","1,2"
"Australia","2022","Total","Female","Albury-Wodonga","City proper","Estimate - de jure","Provisional figure","2024","51371","1,2"
"Australia","2022","Total","Female","Ballarat","City proper","Estimate - de jure","Provisional figure","2024","59748","1,2"
"Australia","2022","Total","Female","Bendigo","City proper","Estimate - de jure","Provisional figure","2024","62856","1,2"
"Australia","2022","Total","Female","Brisbane","City proper","Estimate - de jure","Provisional figure","2024","646776","1,2"
"Australia","2022","Total","Female","Brisbane","Urban agglomeration","Estimate - de jure","Provisional figure","2024","1284874","1,2"
"Australia","2022","Total","Female","Cairns","City proper","Estimate - de jure","Provisional figure","2024","86660","1,2"
"Australia","2022","Total","Female","CANBERRA","City proper","Estimate - de jure","Provisional figure","2024","231207","1,2"
"Australia","2022","Total","Female","CANBERRA","Urban agglomeration","Estimate - de jure","Provisional figure","2024","231207","1,2"
"Australia","2022","Total","Female","Canberra-Queanbeyan","City proper","Estimate - de jure","Provisional figure","2024","262701","1,2"
"Australia","2022","Total","Female","Central Coast","City proper","Estimate - de jure","Provisional figure","2024","179127","1,2"
"Australia","2022","Total","Female","Darwin","City proper","Estimate - de jure","Provisional figure","2024","41735","1,2"
"Australia","2022","Total","Female","Darwin","Urban agglomeration","Estimate - de jure","Provisional figure","2024","66013","1,2"
"Australia","2022","Total","Female","Geelong","City proper","Estimate - de jure","Provisional figure","2024","141241","1,2"
"Australia","2022","Total","Female","Geelong","Urban agglomeration","Estimate - de jure","Provisional figure","2024","150903","1,2"
"Australia","2022","Total","Female","Gold Coast","City proper","Estimate - de jure","Provisional figure","2024","331256","1,2"
"Australia","2022","Total","Female","Gold Coast","Urban agglomeration","Estimate - de jure","Provisional figure","2024","339407","1,2"
"Australia","2022","Total","Female","Gold Coast-Tweed Heads","City proper","Estimate - de jure","Provisional figure","2024","381634","1,2"
"Australia","2022","Total","Female","Greater Adelaide","Urban agglomeration","Estimate - de jure","Provisional figure","2024","724172","1,2"
"Australia","2022","Total","Female","Greater Brisbane","Urban agglomeration","Estimate - de jure","Provisional figure","2024","1324893","1,2"
"Australia","2022","Total","Female","Greater Darwin","Urban agglomeration","Estimate - de jure","Provisional figure","2024","72473","1,2"
"Australia","2022","Total","Female","Greater Hobart","Urban agglomeration","Estimate - de jure","Provisional figure","2024","128953","1,2"
